"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"¡Una vida plagada de fútbol! <U+26BD><U+FE0F><U+2764><U+FE0F>

Estos son los logros conseguidos por la @TuFPF en sus 9<U+FE0F><U+20E3>9<U+FE0F><U+20E3> años de vida instit… https://t.co/0cIP01YxHD",FALSE,129,NA,2021-08-23 15:45:31,TRUE,NA,"1429832178620370948",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",18,FALSE,FALSE,NA,NA
"¡Rumbo a un centenario soñado! <U+0001F1F5><U+0001F1EA><U+0001F51C><U+0001F4AF>

En estos 9<U+FE0F><U+20E3>9<U+FE0F><U+20E3> años de vida institucional, seguimos comprometidos y sumando e… https://t.co/RJqjqL02UK",FALSE,491,NA,2021-08-23 13:32:47,TRUE,NA,"1429798776672333827",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",57,FALSE,FALSE,NA,NA
"La @TuFPF recibió en la semana en curso a la «Misión Perú» de @FIFAcom en una visita de 4 días, en la cual se efect… https://t.co/dnfITg5UqP",FALSE,40,NA,2021-08-21 00:54:38,TRUE,NA,"1428883206347055108",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",5,FALSE,FALSE,NA,NA
"¡Regreso esperado! <U+26BD><U+FE0F>

La @TuFPF puso en marcha el retorno de la actividad deportiva para los menores en sus Centro… https://t.co/g0pttdu5wB",FALSE,67,NA,2021-08-20 22:08:04,TRUE,NA,"1428841287785095170",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","TuFPF",3,FALSE,FALSE,NA,NA
"CONAR inició curso para árbitros instructores y asesores, el cual se desarrollará del 16 al 19 de agosto. 

Más inf… https://t.co/FnB1Chzpy2",FALSE,71,NA,2021-08-16 17:48:35,TRUE,NA,"1427326436789137409",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",4,FALSE,FALSE,NA,NA
"Un día como hoy, en 2008, se fundó @fc_ayacucho. 

¡Muchas felicidades a todos sus hinchas! <U+0001F38A> https://t.co/pBC5AvSG6W",FALSE,105,NA,2021-08-09 15:55:53,FALSE,NA,"1424761358156017671",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",3,FALSE,FALSE,NA,NA
"Joseph Sotomayor (Magic_JS7) se consagró campeón de la 1º FanCup Online, luego de derrotar por diferencia de gol a… https://t.co/KNdaaSFUDj",FALSE,73,NA,2021-08-09 01:07:24,TRUE,NA,"1424537765316857857",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",7,FALSE,FALSE,NA,NA
"Hoy se definen los 4<U+FE0F><U+20E3> mejores que pasarán a las semifinales y final. Partidos de ida y vuelta para estar un poco m… https://t.co/xnNXRobwPt",FALSE,33,NA,2021-08-07 23:00:10,TRUE,NA,"1424143359283707906",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",2,FALSE,FALSE,NA,NA
"Un día como hoy, en 1924, se fundó @Universitario.

¡Muchas felicidades a todos los hinchas 'cremas'! <U+0001F38A> https://t.co/RT1FNbV3G6",FALSE,1584,NA,2021-08-07 14:19:59,FALSE,NA,"1424012449867575299",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",186,FALSE,FALSE,NA,NA
"El presidente de la Junta Directiva de @TuFPF convoca a Asamblea de Bases Eleccionaria a desarrollarse los días lun… https://t.co/7SmyQ2mHEr",FALSE,75,NA,2021-08-07 00:17:21,TRUE,NA,"1423800392253644801",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TuFPF",11,FALSE,FALSE,NA,NA
